csf_function,csf_subcategory_id,csf_subcategory_name,question,evidence,notes,response
Protect,PR.PS-02,Software is maintained replaced and removed commensurate with risk,Is end-of-life software tracked and decommissioning planned before support expiry?,"Software inventory with EOL dates, decommissioning plans, EOL risk acceptance records",SOC 2 CC8.1 — manages software replacement and removal commensurate with risk,
Protect,PR.PS-04,Logs are generated to enable monitoring with appropriate log retention,Are audit logs generated for privileged actions and configuration changes and retained for a defined period?,"Log configuration documentation, log retention policy, sample log output confirming privileged action capture",SOC 2 CC8.1 — documents changes and provides audit trail,
Protect,PR.PS-04,Logs are generated to enable monitoring with appropriate log retention,Are logs protected from unauthorized modification and reviewed for indicators of unauthorized changes?,"Log integrity controls, log review procedures, SIEM or log management tool configuration",SOC 2 CC8.1 — supports detection of unauthorized changes,
Protect,PR.PS-06,Secure software development practices are followed,Does the organization follow a documented secure development lifecycle (SDLC) for internally developed or customized software?,"SDLC documentation, code review procedures, security testing records (SAST/DAST if applicable)",SOC 2 CC8.1 — designs develops and tests changes before implementation,
Protect,PR.PS-06,Secure software development practices are followed,Are software deployments to production gated by a formal approval process (e.g. sign-off, deployment checklist)?,"Deployment approval records, change management tickets, release checklist documentation",SOC 2 CC8.1 — approves and implements changes through a controlled process,
Recover,RC.RP-02,Recovery actions are selected scoped prioritized and performed,Does the organization have a business continuity plan (BCP) that identifies critical systems and defines recovery priorities?,"Business continuity plan document, critical system list, BIA results, recovery priority documentation",SOC 2 A1.1 — maintains alternative processing plans for critical functions,
Recover,RC.RP-02,Recovery actions are selected scoped prioritized and performed,Are recovery time objectives (RTOs) and recovery point objectives (RPOs) defined and documented for critical systems?,"RTO/RPO documentation per system, BIA outputs, leadership-approved recovery objectives",SOC 2 A1.1 and A1.2 — maintains recovery objectives consistent with availability commitments,
Recover,RC.RP-03,The integrity of backups and other restoration assets is verified before use,Are backup integrity checks performed before relying on backups for restoration?,"Backup verification logs, checksum or hash validation records, restoration test logs",SOC 2 A1.2 — maintains backup integrity consistent with availability objectives,
Recover,RC.RP-03,The integrity of backups and other restoration assets is verified before use,Is there a documented procedure for validating backup integrity as part of the restoration process?,"Restoration procedure documentation, integrity validation steps, responsible role assignment",SOC 2 A1.2 — ensures backup recovery meets documented objectives,
Recover,RC.RP-04,Critical mission functions and cybersecurity continuity are considered in recovery planning,Does the BCP explicitly identify cybersecurity controls that must be maintained or restored during a disruption?,"BCP document with cybersecurity continuity section, critical control list, recovery sequence documentation",SOC 2 A1.3 — tests recovery plan objectives including cybersecurity continuity,
Recover,RC.RP-04,Critical mission functions and cybersecurity continuity are considered in recovery planning,Are critical function dependencies (systems, personnel, vendors) documented within the BCP?,"Dependency mapping, contact lists for critical vendors/personnel, BCP appendices",SOC 2 A1.1 — maintains alternative processing arrangements for critical functions,
Recover,RC.RP-05,System integrity and organizational continuity are evaluated after a cybersecurity incident,Is there a documented post-incident review process to evaluate whether systems were fully restored and controls remain effective?,"Post-incident review reports, lessons-learned documentation, control effectiveness sign-off",SOC 2 A1.3 — evaluates recovery outcomes against plan objectives,
Recover,RC.RP-05,System integrity and organizational continuity are evaluated after a cybersecurity incident,Are findings from post-incident reviews fed back into the BCP and security controls?,"BCP revision records, control update tickets, lessons-learned implementation tracking",SOC 2 A1.3 — tests and updates recovery plan based on incident experience,
Protect,PR.DS-03,Assets are formally managed throughout removal transfers and disposition,Is there a documented data and media disposal policy specifying approved destruction methods for confidential information?,"Data disposal policy, media sanitization standards (e.g. NIST SP 800-88 reference), approved method list",SOC 2 C1.2 — disposes of confidential information in accordance with commitments,
Protect,PR.DS-03,Assets are formally managed throughout removal transfers and disposition,Are disposal activities logged with records of what was disposed of and by whom?,"Disposal logs, certificate of destruction, asset retirement records, chain-of-custody documentation",SOC 2 C1.2 — documents disposal of confidential information,
Protect,PR.DS-10,The integrity of hardware and software are verified,Are hardware assets sanitized (data wiped or physically destroyed) before reuse disposal or transfer?,"Hardware sanitization records, data wipe tool logs, physical destruction certificates",SOC 2 C1.2 — disposes of hardware containing confidential information,
Protect,PR.DS-10,The integrity of hardware and software are verified,Is sanitized hardware verified to confirm no residual data remains before the asset is released or disposed?,"Sanitization verification records, tool output confirming clean state, sign-off by responsible role",SOC 2 C1.2 — verifies disposal meets confidentiality commitments,
